,max length of binary vectors
1055,2104.6517133285142
1056,2106.6517133285142
1057,2108.650349077783
1058,2110.650349077783
1059,2112.6489874023246
1060,2114.6489874023246
1061,2116.647628292435
1062,2118.647628292435
1063,2120.646271738465
1064,2122.646271738465
1065,2124.6449177308195
1066,2126.6449177308195
1067,2128.643566259956
1068,2130.643566259956
1069,2132.6422173163883
1070,2134.6422173163883
1071,2136.6408708906806
1072,2138.6408708906806
1073,2140.6395269734517
1074,2142.6395269734517
1075,2144.638185555372
1076,2146.638185555372
1077,2148.6368466271633
1078,2150.6368466271633
1079,2152.6355101796007
1080,2154.6355101796007
1081,2156.6341762035086
1082,2158.6341762035086
1083,2160.6328446897633
1084,2162.6328446897633
1085,2164.6315156292903
1086,2166.6315156292903
1087,2168.6301890130676
1088,2170.6301890130676
1089,2172.62886483212
1090,2174.62886483212
1091,2176.627543077524
1092,2178.627543077524
1093,2180.6262237404035
1094,2182.6262237404035
1095,2184.6249068119314
1096,2186.6249068119314
1097,2188.6235922833293
1098,2190.6235922833293
1099,2192.622280145866
1100,2194.622280145866
1101,2196.62097039086
1102,2198.62097039086
1103,2200.619663009673
1104,2202.619663009673
1105,2204.618357993717
1106,2206.618357993717
1107,2208.617055334449
1108,2210.617055334449
1109,2212.615755023374
1110,2214.615755023374
1111,2216.614457052039
1112,2218.614457052039
1113,2220.6131614120413
1114,2222.6131614120413
1115,2224.6118680950194
1116,2226.6118680950194
1117,2228.6105770926597
1118,2230.6105770926597
1119,2232.609288396691
1120,2234.609288396691
1121,2236.6080019988876
1122,2238.6080019988876
1123,2240.606717891067
1124,2242.606717891067
1125,2244.6054360650915
1126,2246.6054360650915
1127,2248.6041565128653
1128,2250.6041565128653
1129,2252.6028792263355
1130,2254.6028792263355
1131,2256.6016041974935
1132,2258.6016041974935
1133,2260.6003314183718
1134,2262.6003314183718
1135,2264.5990608810453
1136,2266.5990608810453
1137,2268.597792577631
1138,2270.597792577631
1139,2272.596526500287
1140,2274.596526500287
1141,2276.5952626412127
1142,2278.5952626412127
1143,2280.594000992649
1144,2282.594000992649
1145,2284.5927415468764
1146,2286.5927415468764
1147,2288.5914842962165
1148,2290.5914842962165
1149,2292.590229233031
1150,2294.590229233031
1151,2296.5889763497207
1152,2298.5889763497207
1153,2300.587725638727
1154,2302.587725638727
1155,2304.58647709253
1156,2306.58647709253
1157,2308.585230703648
1158,2310.585230703648
1159,2312.5839864646396
1160,2314.5839864646396
1161,2316.5827443681005
1162,2318.5827443681005
1163,2320.5815044066658
1164,2322.5815044066658
1165,2324.5802665730066
1166,2326.5802665730066
1167,2328.579030859834
1168,2330.579030859834
1169,2332.577797259895
1170,2334.577797259895
1171,2336.576565765974
1172,2338.576565765974
1173,2340.5753363708923
1174,2342.5753363708923
1175,2344.5741090675083
1176,2346.5741090675083
1177,2348.572883848716
1178,2350.572883848716
1179,2352.571660707447
1180,2354.571660707447
1181,2356.5704396366664
1182,2358.5704396366664
1183,2360.569220629377
1184,2362.569220629377
1185,2364.568003678617
1186,2366.568003678617
1187,2368.566788777458
1188,2370.566788777458
1189,2372.5655759190086
1190,2374.5655759190086
1191,2376.5643650964103
1192,2378.5643650964103
1193,2380.563156302841
1194,2382.563156302841
1195,2384.5619495315104
1196,2386.5619495315104
1197,2388.5607447756656
1198,2390.5607447756656
1199,2392.5595420285836
1200,2394.5595420285836
1201,2396.5583412835786
1202,2398.5583412835786
1203,2400.557142533995
1204,2402.557142533995
1205,2404.555945773212
1206,2406.555945773212
1207,2408.554750994642
1208,2410.554750994642
1209,2412.5535581917293
1210,2414.5535581917293
1211,2416.55236735795
1212,2418.55236735795
1213,2420.551178486815
1214,2422.551178486815
1215,2424.5499915718647
1216,2426.5499915718647
1217,2428.548806606672
1218,2430.548806606672
1219,2432.547623584842
1220,2434.547623584842
1221,2436.546442500011
1222,2438.546442500011
1223,2440.5452633458453
1224,2442.5452633458453
1225,2444.5440861160446
1226,2446.5440861160446
1227,2448.542910804337
1228,2450.542910804337
1229,2452.5417374044837
1230,2454.5417374044837
1231,2456.540565910273
1232,2458.540565910273
1233,2460.5393963155266
1234,2462.5393963155266
1235,2464.538228614094
1236,2466.538228614094
1237,2468.5370627998564
1238,2470.5370627998564
1239,2472.5358988667226
1240,2474.5358988667226
1241,2476.5347368086323
1242,2478.5347368086323
1243,2480.5335766195544
1244,2482.5335766195544
1245,2484.5324182934855
1246,2486.5324182934855
1247,2488.5312618244534
1248,2490.5312618244534
1249,2492.5301072065117
1250,2494.5301072065117
1251,2496.5289544337447
1252,2498.5289544337447
1253,2500.527803500265
1254,2502.527803500265
1255,2504.5266544002116
1256,2506.5266544002116
1257,2508.5255071277525
1258,2510.5255071277525
1259,2512.524361677084
1260,2514.524361677084
1261,2516.52321804243
1262,2518.52321804243
1263,2520.5220762180406
1264,2522.5220762180406
1265,2524.5209361981933
1266,2526.5209361981933
1267,2528.519797977195
1268,2530.519797977195
1269,2532.5186615493767
1270,2534.5186615493767
1271,2536.5175269090973
1272,2538.5175269090973
1273,2540.5163940507423
1274,2542.5163940507423
1275,2544.5152629687236
1276,2546.5152629687236
1277,2548.5141336574793
1278,2550.5141336574793
1279,2552.5130061114737
1280,2554.5130061114737
1281,2556.511880325196
1282,2558.511880325196
1283,2560.510756293164
1284,2562.510756293164
1285,2564.509634009917
1286,2566.509634009917
1287,2568.508513470023
1288,2570.508513470023
1289,2572.507394668074
1290,2574.507394668074
1291,2576.5062775986876
1292,2578.5062775986876
1293,2580.505162256505
1294,2582.505162256505
1295,2584.504048636195
1296,2586.504048636195
1297,2588.5029367324473
1298,2590.5029367324473
1299,2592.5018265399794
1300,2594.5018265399794
1301,2596.5007180535313
1302,2598.5007180535313
1303,2600.499611267868
1304,2602.499611267868
1305,2604.4985061777793
1306,2606.4985061777793
1307,2608.4974027780763
1308,2610.4974027780763
1309,2612.496301063597
1310,2614.496301063597
