Final Quaternary String Length,Number of possible strands,Log2 Count
470,2.9992909391198125666e+280,931.7244880426744216
471,1.1880839885458516142e+281,933.7104314907127466
472,4.6815960310717317973e+281,935.68879511486122585
473,1.8545274182312770567e+282,937.6747743557367884
474,7.307497027841426006e+282,939.6531000954841632
475,2.8948012633167870934e+283,941.6391151594489182
476,1.14062459984260357005e+284,943.61740300076034416
477,4.518597235323100749e+284,945.6034539162838434
478,1.7803943208684828353e+285,947.58170384687571053
479,7.053227615187689858e+285,949.5677906406713094
480,2.7934422271724658255e+286,951.5534791211584157
481,1.1009600460922996213e+287,953.53212534703359177
482,4.360471243039237095e+287,955.51784729044071465
483,1.7185200958237294417e+288,957.49645804978306207
484,6.806542603912006801e+288,959.48221349220005255
485,2.6824835816329306366e+289,961.46078876331982754
486,1.0624759770886507551e+290,963.44657773917188676
487,4.1871540131503611872e+290,965.4251175020294422
488,1.6584832388555166209e+291,967.41094004409983037
489,6.535821887431844293e+291,969.3894442802806877
490,2.5888236859834278458e+292,971.37530041973326705
491,1.0251623011695504407e+293,973.360784133734085
492,4.0410412459081934424e+293,975.3396588788250309
493,1.6002685401160418039e+294,977.3251739201130361
494,6.307881409765804175e+294,979.3040154341291501
495,2.4980006462628699375e+295,981.2895618419604038
496,9.846302797693334618e+295,983.2683700983986538
497,3.8993450513432611042e+296,985.2539479104986514
498,1.5369590241879241474e+297,987.2327228843834398
499,6.0868168461829841273e+297,989.21833213696659404
500,2.4099828968789534263e+298,991.2035951844346637
501,9.501414164328410542e+298,993.1827145326172079
502,3.7620173605988617275e+299,995.1680068778092695
503,1.4831521884876307235e+300,997.14709510871549414
504,5.8725550347091740696e+300,999.1324167947407632
505,2.3151686885896468845e+301,1001.11147387653639856
506,9.16711888877346456e+301,1003.09682494508121364
507,3.6139240611378376253e+302,1005.0758508473627836
508,1.430994956995595576e+303,1007.06123133870737396
509,5.641243775622611638e+303,1009.04022603248345413
510,2.2337924405506647287e+304,1011.0256359855186276
511,8.843277180934445644e+304,1013.01072195479990873
512,3.4869603388174439755e+305,1014.99003889543498397
513,1.38046592386223796835e+306,1016.97515231166478555
514,5.4431547126551559297e+306,1018.9544400783951203
515,2.1549521811351460409e+307,1020.93958098636820586
516,8.496769416870028422e+307,1022.9188395443544704
517,3.3639465023581802682e+308,1024.9040079875605113
518,1.3263449031264979433e+309,1026.8832373032833596
519,5.2512176888563359144e+309,1028.8684333239212514
520,2.0786092192356634543e+310,1030.8533279705547785
521,8.1972931322543167803e+310,1032.8328570041573147
522,3.244823075064441474e+311,1034.8177773269658237
523,1.27961821329666839874e+312,1036.7972790370010989
524,5.065341292861276697e+312,1038.7822250831490587
525,1.9975141617758307516e+313,1040.7616994312087236
526,7.9072582678707329905e+313,1042.7466712466521421
527,3.1181631187619914738e+314,1044.7261181955582807
528,1.2343623263182634823e+315,1046.7111158250569258
529,4.8675150826227080087e+315,1048.6905353388481245
530,1.9268988504180909599e+316,1050.6755588259777209
531,7.626505077397413547e+316,1052.6603000634022411
532,3.0079783386301125334e+317,1054.6400002570596013
533,1.1905526228002872122e+318,1056.6247655637732394
534,4.6955883992126717297e+318,1058.60444012597674
535,1.8585368336124313447e+319,1060.5892295497586617
536,7.330015105157077153e+319,1062.5688784404307803
537,2.9013043906948232133e+320,1064.5536920279540269
538,1.144245603959919078e+321,1066.5333152081492406
539,4.529131872210906316e+321,1068.5181530049910991
540,1.7923862201912303966e+322,1070.5027280939823624
