Original Binary String Length,Almost Balanced,3-RLL,Almost Balanced And RLL
870,2.0,8.0,8.0
871,1.0,9.0,9.0
872,2.0,8.0,8.0
873,1.0,9.0,9.0
874,2.0,8.0,8.0
875,1.0,9.0,9.0
876,2.0,8.0,8.0
877,1.0,9.0,9.0
878,2.0,8.0,8.0
879,1.0,9.0,9.0
880,2.0,8.0,8.0
881,1.0,9.0,9.0
882,2.0,8.0,8.0
883,1.0,9.0,9.0
884,2.0,8.0,8.0
885,1.0,9.0,9.0
886,2.0,8.0,8.0
887,1.0,9.0,9.0
888,2.0,8.0,8.0
889,1.0,9.0,9.0
890,2.0,8.0,8.0
891,1.0,9.0,9.0
892,2.0,8.0,8.0
893,1.0,9.0,9.0
894,2.0,8.0,8.0
895,1.0,9.0,9.0
896,2.0,8.0,8.0
897,1.0,9.0,9.0
898,2.0,8.0,8.0
899,1.0,9.0,9.0
900,2.0,8.0,8.0
901,1.0,9.0,9.0
902,2.0,8.0,10.0
903,1.0,9.0,9.0
904,2.0,8.0,10.0
905,1.0,9.0,9.0
906,2.0,10.0,10.0
907,1.0,9.0,9.0
908,2.0,10.0,10.0
909,1.0,9.0,9.0
910,2.0,10.0,10.0
911,1.0,9.0,9.0
912,2.0,10.0,10.0
913,1.0,9.0,9.0
914,2.0,10.0,10.0
915,1.0,9.0,9.0
916,2.0,10.0,10.0
917,1.0,9.0,9.0
918,2.0,10.0,10.0
919,1.0,9.0,9.0
920,2.0,10.0,10.0
921,1.0,9.0,9.0
922,2.0,10.0,10.0
923,1.0,9.0,9.0
924,2.0,10.0,10.0
925,1.0,9.0,9.0
926,2.0,10.0,10.0
927,1.0,9.0,9.0
928,2.0,10.0,10.0
929,1.0,9.0,9.0
930,2.0,10.0,10.0
931,1.0,9.0,9.0
932,2.0,10.0,10.0
933,1.0,9.0,9.0
934,2.0,10.0,10.0
935,1.0,9.0,9.0
936,2.0,10.0,10.0
937,1.0,9.0,9.0
938,2.0,10.0,10.0
939,1.0,9.0,9.0
940,2.0,10.0,10.0
941,1.0,9.0,9.0
942,2.0,10.0,10.0
943,1.0,9.0,9.0
944,2.0,10.0,10.0
945,1.0,9.0,9.0
946,2.0,10.0,10.0
947,1.0,9.0,9.0
948,2.0,10.0,10.0
949,1.0,9.0,9.0
950,2.0,10.0,10.0
951,1.0,9.0,9.0
952,2.0,10.0,10.0
953,1.0,9.0,9.0
954,2.0,10.0,10.0
955,1.0,9.0,9.0
956,2.0,10.0,10.0
957,1.0,9.0,9.0
958,2.0,10.0,10.0
959,1.0,9.0,9.0
960,2.0,10.0,10.0
961,1.0,9.0,9.0
962,2.0,10.0,10.0
963,1.0,9.0,9.0
964,2.0,10.0,10.0
965,1.0,9.0,9.0
966,2.0,10.0,10.0
967,1.0,9.0,9.0
968,2.0,10.0,10.0
969,1.0,9.0,9.0
970,2.0,10.0,10.0
971,1.0,9.0,9.0
972,2.0,10.0,10.0
973,1.0,9.0,9.0
974,2.0,10.0,10.0
975,1.0,9.0,9.0
976,2.0,10.0,10.0
977,1.0,9.0,9.0
978,2.0,10.0,10.0
979,1.0,9.0,9.0
980,2.0,10.0,10.0
981,1.0,9.0,9.0
982,2.0,10.0,10.0
983,1.0,9.0,9.0
984,2.0,10.0,10.0
985,1.0,9.0,9.0
986,2.0,10.0,10.0
