Original Binary String Length,3-RLL and Knuth,3-RLL and Knuth with Skips,3-RLL and Knuth by blocks,6-RLL with encodings and Knuth
466,72.0,66.0,34.0,74.0
467,73.0,67.0,35.0,75.0
468,72.0,66.0,34.0,74.0
469,73.0,67.0,35.0,77.0
470,72.0,66.0,34.0,76.0
471,73.0,67.0,35.0,75.0
472,72.0,66.0,34.0,74.0
473,73.0,67.0,35.0,77.0
474,72.0,66.0,34.0,76.0
475,73.0,67.0,35.0,77.0
476,72.0,66.0,34.0,76.0
477,73.0,67.0,35.0,77.0
478,72.0,66.0,34.0,76.0
479,73.0,67.0,35.0,77.0
480,72.0,66.0,34.0,76.0
481,77.0,71.0,37.0,77.0
482,76.0,70.0,36.0,76.0
483,77.0,71.0,37.0,77.0
484,76.0,70.0,36.0,76.0
485,77.0,71.0,37.0,77.0
486,76.0,70.0,36.0,76.0
487,77.0,71.0,37.0,77.0
488,76.0,70.0,36.0,76.0
489,77.0,71.0,37.0,77.0
490,76.0,70.0,36.0,76.0
491,77.0,71.0,37.0,79.0
492,76.0,70.0,36.0,78.0
493,77.0,71.0,37.0,79.0
494,76.0,70.0,36.0,78.0
495,77.0,71.0,37.0,79.0
496,76.0,70.0,36.0,78.0
497,77.0,71.0,37.0,79.0
498,76.0,70.0,36.0,78.0
499,77.0,71.0,37.0,79.0
500,76.0,70.0,36.0,78.0
501,77.0,71.0,37.0,81.0
502,76.0,70.0,36.0,80.0
503,77.0,71.0,37.0,81.0
504,76.0,70.0,36.0,80.0
505,77.0,71.0,37.0,81.0
506,76.0,70.0,36.0,80.0
507,77.0,71.0,37.0,81.0
508,76.0,70.0,36.0,80.0
509,77.0,71.0,37.0,81.0
510,76.0,70.0,36.0,80.0
511,77.0,71.0,37.0,83.0
512,76.0,70.0,36.0,82.0
513,81.0,75.0,39.0,81.0
514,80.0,74.0,38.0,80.0
515,81.0,75.0,39.0,83.0
516,80.0,74.0,38.0,82.0
517,81.0,75.0,39.0,83.0
518,80.0,74.0,38.0,82.0
519,81.0,75.0,39.0,83.0
520,80.0,74.0,38.0,82.0
521,81.0,75.0,39.0,83.0
522,80.0,74.0,38.0,82.0
